NAMESPACE     NAME                                      READY   STATUS      RESTARTS        AGE     IP             NODE   NOMINATED NODE   READINESS GATES
kube-system   coredns-8db54c48d-7v8ss                   1/1     Running     1 (13d ago)     13d     10.42.0.10     c1     <none>           <none>
kube-system   helm-install-traefik-crd-25k64            0/1     Completed   0               13d     <none>         c1     <none>           <none>
kube-system   helm-install-traefik-qpplw                0/1     Completed   2               13d     <none>         c1     <none>           <none>
kube-system   local-path-provisioner-5d9d9885bc-w6fh6   1/1     Running     1 (13d ago)     13d     10.42.0.11     c1     <none>           <none>
kube-system   metrics-server-786d997795-4t8gj           1/1     Running     1 (13d ago)     13d     10.42.0.9      c1     <none>           <none>
kube-system   svclb-traefik-7ab09d61-8zxqj              2/2     Running     14 (5d7h ago)   13d     10.42.1.11     c2     <none>           <none>
kube-system   svclb-traefik-7ab09d61-bp9cn              2/2     Running     0               13d     10.42.0.15     c1     <none>           <none>
kube-system   svclb-traefik-7ab09d61-x5cmh              2/2     Running     12 (5d7h ago)   13d     10.42.3.10     c3     <none>           <none>
kube-system   traefik-9bcdbbd9-m82d7                    1/1     Running     1 (13d ago)     13d     10.42.0.12     c1     <none>           <none>
kubeedge      cloud-iptables-manager-l7lpb              1/1     Running     6 (5d7h ago)    6d10h   10.10.10.135   c3     <none>           <none>
kubeedge      cloud-iptables-manager-mnh8d              1/1     Running     7 (5d7h ago)    6d10h   10.10.10.134   c2     <none>           <none>
kubeedge      cloud-iptables-manager-nw279              1/1     Running     0               6d10h   10.10.10.133   c1     <none>           <none>
kubeedge      cloudcore-589789b9fc-4qfvm                1/1     Running     0               5d9h    10.10.10.135   c3     <none>           <none>
kubeedge      cloudcore-589789b9fc-8nqmw                1/1     Running     0               5d9h    10.10.10.134   c2     <none>           <none>
kubeedge      cloudcore-589789b9fc-bphz8                1/1     Running     0               12d     10.10.10.133   c1     <none>           <none>
kubeedge      edge-eclipse-mosquitto-7l5gz              1/1     Running     6 (6d6h ago)    13d     10.10.20.132   e2     <none>           <none>
kubeedge      edge-eclipse-mosquitto-szthb              1/1     Running     6 (6d6h ago)    13d     10.10.20.131   e1     <none>           <none>
kubeedge      edgemesh-agent-l2n4z                      1/1     Running     5 (6d6h ago)    6d10h   10.10.20.131   e1     <none>           <none>
kubeedge      edgemesh-agent-qf7pk                      1/1     Running     5 (6d6h ago)    6d10h   10.10.20.132   e2     <none>           <none>
testapp       nginx-testapp-5c8f4cb9d7-bt2z9            1/1     Running     0               27m     10.88.1.191    e1     <none>           <none>
testapp       nginx-testapp-5c8f4cb9d7-l4x76            1/1     Running     0               27m     10.88.1.192    e1     <none>           <none>
testapp       nginx-testapp-5c8f4cb9d7-mrk7k            1/1     Running     0               27m     10.88.1.190    e1     <none>           <none>
