NAMESPACE     LAST SEEN   TYPE      REASON                           OBJECT                                                          MESSAGE
kube-system   51m         Warning   NodeNotReady                     pod/svclb-traefik-405c6267-827kb                                Node is not ready
default       51m         Normal    NodeNotReady                     node/k3s-w1                                                     Node k3s-w1 status is now: NodeNotReady
kube-system   51m         Normal    UpdatedLoadBalancer              service/traefik                                                 Updated LoadBalancer with new IPs: [192.168.228.129 192.168.228.130 192.168.228.131 192.168.228.132 192.168.228.133] -> [192.168.228.129 192.168.228.130 192.168.228.131 192.168.228.133]
testapp       51m         Warning   NodeNotReady                     pod/nginx-test-f8f6dcbc6-ztpzk                                  Node is not ready
kube-system   51m         Normal    UpdatedLoadBalancer              service/traefik                                                 Updated LoadBalancer with new IPs: [192.168.228.129 192.168.228.130 192.168.228.131 192.168.228.133] -> [192.168.228.129 192.168.228.130 192.168.228.131 192.168.228.132 192.168.228.133]
testapp       51m         Normal    TaintManagerEviction             pod/nginx-test-f8f6dcbc6-ztpzk                                  Cancelling deletion of Pod testapp/nginx-test-f8f6dcbc6-ztpzk
default       <invalid>   Normal    CertificateExpirationOK          node/k3s-w1                                                     Node and Certificate Authority certificates managed by k3s are OK
default       <invalid>   Normal    Starting                         node/k3s-w1                                                     
default       58m         Normal    NodeHasSufficientPID             node/k3s-w1                                                     Node k3s-w1 status is now: NodeHasSufficientPID
default       <invalid>   Warning   Rebooted                         node/k3s-w1                                                     Node k3s-w1 has been rebooted, boot id: d4b3da47-742b-436d-bada-a3c5b596cc67
default       <invalid>   Normal    Starting                         node/k3s-w1                                                     Starting kubelet.
default       58m         Normal    NodeHasSufficientMemory          node/k3s-w1                                                     Node k3s-w1 status is now: NodeHasSufficientMemory
default       58m         Normal    NodeHasNoDiskPressure            node/k3s-w1                                                     Node k3s-w1 status is now: NodeHasNoDiskPressure
default       58m         Normal    NodeReady                        node/k3s-w1                                                     Node k3s-w1 status is now: NodeReady
default       <invalid>   Normal    NodeAllocatableEnforced          node/k3s-w1                                                     Updated Node Allocatable limit across pods
testapp       <invalid>   Normal    Created                          pod/nginx-test-f8f6dcbc6-ztpzk                                  Container created
testapp       <invalid>   Normal    SandboxChanged                   pod/nginx-test-f8f6dcbc6-ztpzk                                  Pod sandbox changed, it will be killed and re-created.
kube-system   <invalid>   Normal    Created                          pod/svclb-traefik-405c6267-827kb                                Container created
kube-system   <invalid>   Normal    Started                          pod/svclb-traefik-405c6267-827kb                                Container started
testapp       <invalid>   Normal    Started                          pod/nginx-test-f8f6dcbc6-ztpzk                                  Container started
kube-system   <invalid>   Normal    Pulled                           pod/svclb-traefik-405c6267-827kb                                Container image "rancher/klipper-lb:v0.4.17" already present on machine and can be accessed by the pod
testapp       <invalid>   Normal    Pulled                           pod/nginx-test-f8f6dcbc6-ztpzk                                  Container image "nginx:stable" already present on machine and can be accessed by the pod
kube-system   <invalid>   Normal    Created                          pod/svclb-traefik-405c6267-827kb                                Container created
kube-system   <invalid>   Normal    SandboxChanged                   pod/svclb-traefik-405c6267-827kb                                Pod sandbox changed, it will be killed and re-created.
monitoring    <invalid>   Normal    Created                          pod/monitoring-prometheus-node-exporter-47f25                   Container created
kube-system   <invalid>   Normal    Pulled                           pod/svclb-traefik-405c6267-827kb                                Container image "rancher/klipper-lb:v0.4.17" already present on machine and can be accessed by the pod
monitoring    <invalid>   Normal    SandboxChanged                   pod/monitoring-prometheus-node-exporter-47f25                   Pod sandbox changed, it will be killed and re-created.
monitoring    <invalid>   Normal    Pulled                           pod/monitoring-prometheus-node-exporter-47f25                   Container image "quay.io/prometheus/node-exporter:v1.11.1-distroless" already present on machine and can be accessed by the pod
monitoring    <invalid>   Normal    Started                          pod/monitoring-prometheus-node-exporter-47f25                   Container started
